 x       j1(x)       j1'(x)(A)       j1 '(x)(F)
1.00        0.44        0.33                0.31
1.10        0.47        0.29                0.27
1.20        0.50        0.26                0.24
1.30        0.52        0.22                0.20
1.40        0.54        0.18                0.16
1.50        0.56        0.14                0.12
1.60        0.57        0.10                0.08
1.70        0.58        0.06                0.04
1.80        0.58        0.02                -0.00
1.90        0.58        -0.02               -0.04
2.00        0.58        -0.06               -0.08
2.10        0.57        -0.10               -0.12
2.20        0.56        -0.14               -0.16
2.30        0.54        -0.18               -0.20
2.40        0.52        -0.21               -0.23
2.50        0.50        -0.25               -0.26
2.60        0.47        -0.28               -0.29
2.70        0.44        -0.31               -0.32
2.80        0.41        -0.33               -0.34
2.90        0.38        -0.35               -0.36
3.00        0.34        -0.37               -0.38
3.10        0.30        -0.39               -0.40
3.20        0.26        -0.40               -0.41
3.30        0.22        -0.41               -0.41
3.40        0.18        -0.42               -0.42
3.50        0.14        -0.42               -0.42
3.60        0.10        -0.42               -0.42
3.70        0.05        -0.41               -0.41
3.80        0.01        -0.41               -0.40
3.90        -0.03       -0.39               -0.39
4.00        -0.07       -0.38               -0.37
4.10        -0.10       -0.36               -0.35
4.20        -0.14       -0.34               -0.33
4.30        -0.17       -0.32               -0.31
4.40        -0.20       -0.30               -0.28
4.50        -0.23       -0.27               -0.25
4.60        -0.26       -0.24               -0.23
4.70        -0.28       -0.21               -0.19
4.80        -0.30       -0.18               -0.16
4.90        -0.31       -0.15               -0.13
5.00        -0.33       -0.11               -0.10
5.10        -0.34       -0.08               -0.06
5.20        -0.34       -0.04               -0.03
5.30        -0.35       -0.01               0.01
5.40        -0.35       0.02                0.04
5.50        -0.34       0.06                0.07
5.60        -0.33       0.09                0.10
5.70        -0.32       0.12                0.13
5.80        -0.31       0.15                0.16
5.90        -0.30       0.17                0.18
6.00        -0.28       0.20                0.21
6.10        -0.26       0.22                0.23
6.20        -0.23       0.24                0.25
6.30        -0.21       0.26                0.26
6.40        -0.18       0.27                0.28
6.50        -0.15       0.28                0.29
6.60        -0.12       0.29                0.30
6.70        -0.10       0.30                0.30
6.80        -0.07       0.30                0.30
6.90        -0.03       0.30                0.30
7.00        -0.00       0.30                0.30
7.10        0.03        0.30                0.29
7.20        0.05        0.29                0.28
7.30        0.08        0.28                0.27
7.40        0.11        0.26                0.26
7.50        0.14        0.25                0.24
7.60        0.16        0.23                0.22
7.70        0.18        0.21                0.20
7.80        0.20        0.19                0.18
7.90        0.22        0.17                0.15
8.00        0.23        0.14                0.13
8.10        0.25        0.12                0.10
8.20        0.26        0.09                0.08
8.30        0.27        0.06                0.05
8.40        0.27        0.04                0.02
8.50        0.27        0.01                -0.00
8.60        0.27        -0.02               -0.03
8.70        0.27        -0.04               -0.06
8.80        0.26        -0.07               -0.08
8.90        0.26        -0.09               -0.11
9.00        0.25        -0.12               -0.13
9.10        0.23        -0.14               -0.15
9.20        0.22        -0.16               -0.17
9.30        0.20        -0.18               -0.19
9.40        0.18        -0.20               -0.20
9.50        0.16        -0.21               -0.22
9.60        0.14        -0.22               -0.23
9.70        0.12        -0.23               -0.24
9.80        0.09        -0.24               -0.24
9.90        0.07        -0.25               -0.25
10.00       0.04        -0.25               -0.25
10.10       0.02        -0.25               -0.25
10.20       -0.01       -0.25               -0.25
10.30       -0.03       -0.24               -0.24
10.40       -0.06       -0.24               -0.23
10.50       -0.08       -0.23               -0.22
10.60       -0.10       -0.22               -0.21
10.70       -0.12       -0.21               -0.20
10.80       -0.14       -0.19               -0.18
10.90       -0.16       0.00                0.00
